sentence_id,word,tag
0,From,O
0,April,B-TIME
0,19-24,I-TIME
0,",",I-TIME
0,2017,E-TIME
0,",",O
0,a,O
0,politically-motivated,O
0,",",O
0,targeted,O
0,campaign,O
0,was,O
0,carried,O
0,out,O
0,against,O
0,numerous,O
0,Israeli,S-LOC
0,organizations,O
0,.,O
1,Morphisec,B-SECTEAM
1,researchers,E-SECTEAM
1,began,O
1,investigating,O
1,the,O
1,attacks,O
1,on,O
1,April,B-TIME
1,24,E-TIME
1,and,O
1,continue,O
1,to,O
1,uncover,O
1,more,O
1,details,O
1,.,O
2,Initial,O
2,reports,O
2,of,O
2,the,O
2,attacks,O
2,",",O
2,published,O
2,April,B-TIME
2,26,E-TIME
2,(,O
2,in,O
2,Hebrew,S-LOC
2,),O
2,by,O
2,the,O
2,Israel,B-SECTEAM
2,National,I-SECTEAM
2,Cyber,I-SECTEAM
2,Event,I-SECTEAM
2,Readiness,I-SECTEAM
2,Team,E-SECTEAM
2,(,O
2,CERT-IL,S-SECTEAM
2,),O
2,and,O
2,The,O
2,Marker,S-SECTEAM
2,",",O
2,confirm,O
2,that,O
2,the,O
2,attack,O
2,was,O
2,delivered,O
2,through,O
2,compromised,O
2,email,S-TOOL
2,accounts,O
2,at,O
2,Ben-Gurion,B-IDTY
2,University,E-IDTY
2,and,O
2,sent,O
2,to,O
2,multiple,O
2,targets,O
2,across,O
2,Israel,S-LOC
2,.,O
3,Ironically,O
3,",",O
3,Ben-Gurion,B-IDTY
3,University,E-IDTY
3,is,O
3,home,O
3,to,O
3,Israel,B-SECTEAM
3,’s,I-SECTEAM
3,Cyber,I-SECTEAM
3,Security,I-SECTEAM
3,Research,I-SECTEAM
3,Center,E-SECTEAM
3,.,O
4,Investigators,O
4,put,O
4,the,O
4,origin,O
4,of,O
4,the,O
4,attack,O
4,as,O
4,Iranian,S-LOC
4,;,O
4,Morphisec,S-SECTEAM
4,’s,O
4,research,O
4,supports,O
4,this,O
4,conclusion,O
4,and,O
4,attributes,O
4,the,O
4,attacks,O
4,to,O
4,the,O
4,same,O
4,infamous,O
4,hacker,O
4,group,O
4,responsible,O
4,for,O
4,the,O
4,OilRig,S-MAL
4,malware,O
4,campaigns,O
4,.,O
5,The,O
5,fileless,B-APT
5,attack,E-APT
5,was,O
5,delivered,O
5,via,O
5,Microsoft,B-TOOL
5,Word,E-TOOL
5,documents,O
5,that,O
5,exploited,O
5,a,O
5,former,O
5,zero-day,S-VULNAME
5,vulnerability,O
5,in,O
5,Word,S-TOOL
5,",",O
5,CVE-2017-0199,S-VULID
5,",",O
5,to,O
5,install,O
5,a,O
5,fileless,O
5,attack,O
5,variant,O
5,of,O
5,the,O
5,Helminth,S-MAL
5,Trojan,S-MAL
5,agent,O
5,.,O
6,Microsoft,S-IDTY
6,released,O
6,the,O
6,patch,O
6,for,O
6,the,O
6,vulnerability,O
6,on,O
6,April,B-TIME
6,11,E-TIME
6,",",O
6,but,O
6,many,O
6,organizations,O
6,have,O
6,not,O
6,yet,O
6,deployed,O
6,the,O
6,update,O
6,.,O
7,The,O
7,attackers,O
7,actually,O
7,based,O
7,their,O
7,attack,O
7,on,O
7,an,O
7,existing,O
7,Proof-of-Concept,O
7,method,O
7,that,O
7,was,O
7,published,O
7,by,O
7,researchers,O
7,after,O
7,the,O
7,patch,O
7,release,O
7,.,O
8,By,O
8,hunting,O
8,through,O
8,known,O
8,malware,O
8,repositories,O
8,",",O
8,Morphisec,S-SECTEAM
8,identified,O
8,matching,O
8,samples,O
8,uploaded,O
8,by,O
8,Israeli,S-LOC
8,high-tech,O
8,development,O
8,companies,O
8,",",O
8,medical,B-IDTY
8,organizations,E-IDTY
8,and,O
8,education,B-IDTY
8,organizations,E-IDTY
8,",",O
8,indicating,O
8,that,O
8,they,O
8,were,O
8,victims,O
8,of,O
8,the,O
8,attack,O
8,.,O
9,For,O
9,security,O
9,purposes,O
9,",",O
9,Morphisec,S-SECTEAM
9,is,O
9,not,O
9,revealing,O
9,these,O
9,names,O
9,.,O
10,Upon,O
10,deeper,O
10,investigation,O
10,into,O
10,the,O
10,installed,O
10,Helminth,S-MAL
10,fileless,O
10,agent,O
10,",",O
10,we,O
10,identified,O
10,a,O
10,near,O
10,perfect,O
10,match,O
10,to,O
10,the,O
10,OilRig,S-MAL
10,campaign,O
10,executed,O
10,by,O
10,an,O
10,Iranian,S-LOC
10,hacker,O
10,group,O
10,against,O
10,140,O
10,financial,O
10,institutions,O
10,in,O
10,the,O
10,Middle,B-LOC
10,East,E-LOC
10,last,O
10,year,O
10,",",O
10,as,O
10,analyzed,O
10,by,O
10,FireEye,S-SECTEAM
10,",",O
10,Palo,B-SECTEAM
10,Alto,I-SECTEAM
10,Networks,E-SECTEAM
